愛知県名古屋市南区星崎二丁目 21 0 -2 17
石川県加賀市伊切町は 21 17 14 15
神奈川県秦野市南が丘一丁目 20 3 4 18
富山県魚津市双葉町 7 3 5 3
栃木県宇都宮市関白町 8 4 6 4
北海道帯広市西十五条南三十九丁目 1 -20 -21 -1
東京都足立区江北四丁目 7 -5 -5 5
福島県いわき市平豊間柳町 17 4 4 4
栃木県矢板市上町 12 8 8 8
青森県青森市大字戸門 21 14 16 18
岩手県岩手郡岩手町大字子抱 19 12 17 16
宮城県多賀城市桜木二丁目 7 -5 -5 5
岡山県岡山市中区西川原 14 10 10 8
新潟県長岡市川口木沢 7 5 5 4
愛知県知多郡東浦町大字緒川六本木 21 -1 -1 False
秋田県横手市大森町東中島 21 11 8 10
宮城県石巻市須江山崎前 23 21 13 11
兵庫県洲本市桑間カジクボ False 10 False False
岩手県奥州市前沢古城田中前 21 10 9 6
千葉県成田市所 1 -3 -3 -3
岩手県花巻市大畑第六地割 22 1 1 12
京都府木津川市山城町平尾三所塚 22 19 19 False
青森県上北郡東北町字保戸沢家ノ上 21 7 19 19
岐阜県恵那市明智町大田 8 4 3 5
島根県益田市匹見町石谷 22 18 17 19
愛知県岡崎市米河内町荒井 21 11 9 9
佐賀県佐賀市下田町 7 3 5 3
福岡県筑紫野市俗明院一丁目 4 -17 -17 2
岐阜県中津川市福岡 11 7 7 7
神奈川県相模原市南区当麻 21 18 18 15
長崎県西海市崎戸町平島 12 4 9 9
岡山県岡山市北区吉備津 9 5 5 4
愛知県一宮市西萩原若宮北 23 19 15 1
青森県北津軽郡板柳町大字野中亀田 21 6 6 6
宮城県名取市高舘吉田宮神明 22 16 15 12
山口県下松市大字笠戸島小深浦 21 4 4 4
愛知県岡崎市板田町入屋敷下 21 18 19 0
福島県いわき市渡辺町昼野宮ノ作 21 9 6 6
岡山県岡山市北区奥田南町 12 7 9 8
埼玉県さいたま市中央区桜丘一丁目 22 0 0 18
秋田県仙北郡美郷町野中宮崎 19 17 17 13
愛知県江南市江森町東 18 14 15 15
島根県松江市打出町 15 11 13 11
和歌山県有田郡有田川町大字井口 21 17 17 19
京都府舞鶴市字河辺由里 12 7 9 9
宮城県宮城郡松島町高城小森二 22 4 4 18
愛知県名古屋市天白区島田黒石 22 20 20 17
愛知県西尾市吉良町津平友京 21 3 -1 -1
佐賀県唐津市神田 14 10 10 10
三重県四日市市三田町 5 -1 -4 1
福岡県行橋市大橋二丁目 3 -9 -9 1
新潟県長岡市竹之高地町 16 13 13 13
岩手県紫波郡紫波町星山 22 18 18 18
東京都立川市西砂町七丁目 7 2 -2 5
北海道帯広市東十一条南十八丁目 1 -21 -20 -1
愛知県一宮市大毛南新開 23 0 2 3
大阪府堺市堺区南三国ヶ丘町一丁 8 -8 -13 5
北海道札幌市手稲区星置一条六丁目 13 -10 -9 9
青森県むつ市大字奥内江豚沢 21 11 11 11
宮城県東松島市小松柳田 15 5 5 7
三重県桑名市松ノ木四丁目 21 -1 3 19
北海道砂川市西三条南一丁目 3 -18 -18 1
秋田県山本郡八峰町八森 22 4 0 False
青森県十和田市大字三本木牛泊 22 2 2 14
愛知県西尾市今川町土井堀 22 13 19 8
岩手県一関市南新町 10 1 4 8
